 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 23, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\Nickel in  H- C (gas).txt

 Ion = Nickel [28] , Mass = 60 amu

 Target Density =  2.4860E-03 g/cm3 = 3.6060E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 400.00 keV   3.275E+00  4.615E+00  190.30 um    23.76 um    21.70 um  
 450.00 keV   3.602E+00  4.384E+00  214.85 um    26.11 um    24.07 um  
 500.00 keV   3.938E+00  4.178E+00  239.08 um    28.30 um    26.38 um  
 550.00 keV   4.264E+00  3.994E+00  262.95 um    30.35 um    28.62 um  
 600.00 keV   4.569E+00  3.828E+00  286.43 um    32.25 um    30.78 um  
 650.00 keV   4.848E+00  3.678E+00  309.58 um    34.04 um    32.87 um  
 700.00 keV   5.099E+00  3.541E+00  332.41 um    35.73 um    34.89 um  
 800.00 keV   5.520E+00  3.300E+00  377.40 um    39.11 um    38.74 um  
 900.00 keV   5.842E+00  3.095E+00  421.71 um    42.19 um    42.39 um  
   1.00 MeV   6.087E+00  2.917E+00  465.64 um    45.04 um    45.86 um  
   1.10 MeV   6.271E+00  2.761E+00  509.38 um    47.72 um    49.20 um  
   1.20 MeV   6.410E+00  2.624E+00  553.10 um    50.27 um    52.43 um  
   1.30 MeV   6.516E+00  2.502E+00  596.90 um    52.71 um    55.56 um  
   1.40 MeV   6.599E+00  2.392E+00  640.84 um    55.05 um    58.61 um  
   1.50 MeV   6.664E+00  2.293E+00  684.97 um    57.33 um    61.60 um  
   1.60 MeV   6.719E+00  2.203E+00  729.29 um    59.53 um    64.53 um  
   1.70 MeV   6.768E+00  2.120E+00  773.81 um    61.68 um    67.41 um  
   1.80 MeV   6.815E+00  2.045E+00  818.52 um    63.78 um    70.25 um  
   2.00 MeV   6.914E+00  1.911E+00  908.32 um    68.39 um    75.78 um  
   2.25 MeV   7.068E+00  1.769E+00    1.02 mm    74.12 um    82.47 um  
   2.50 MeV   7.274E+00  1.650E+00    1.13 mm    79.43 um    88.88 um  
   2.75 MeV   7.540E+00  1.547E+00    1.24 mm    84.32 um    95.01 um  
   3.00 MeV   7.870E+00  1.458E+00    1.35 mm    88.78 um   100.82 um  
   3.25 MeV   8.264E+00  1.380E+00    1.46 mm    92.84 um   106.30 um  
   3.50 MeV   8.719E+00  1.310E+00    1.56 mm    96.51 um   111.43 um  
