 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 28, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Argon in Butane, n-Butane (ICRU-340) (gas).txt

 Ion = Argon [18] , Mass = 46 amu

 Target Density =  2.4870E-03 g/cm3 = 3.6075E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 375.00 keV   5.795E+00  2.213E+00  194.30 um    20.21 um    19.70 um  
 400.00 keV   5.929E+00  2.137E+00  206.55 um    21.01 um    20.65 um  
 450.00 keV   6.188E+00  2.002E+00  230.78 um    22.63 um    22.49 um  
 500.00 keV   6.434E+00  1.886E+00  254.68 um    24.12 um    24.24 um  
 550.00 keV   6.669E+00  1.785E+00  278.23 um    25.50 um    25.91 um  
 600.00 keV   6.893E+00  1.695E+00  301.43 um    26.79 um    27.51 um  
 650.00 keV   7.108E+00  1.615E+00  324.29 um    27.98 um    29.05 um  
 700.00 keV   7.316E+00  1.544E+00  346.82 um    29.11 um    30.52 um  
 800.00 keV   7.713E+00  1.421E+00  390.89 um    31.45 um    33.28 um  
 900.00 keV   8.091E+00  1.318E+00  433.71 um    33.53 um    35.84 um  
   1.00 MeV   8.453E+00  1.231E+00  475.33 um    35.38 um    38.21 um  
   1.10 MeV   8.798E+00  1.156E+00  515.83 um    37.06 um    40.42 um  
   1.20 MeV   9.127E+00  1.091E+00  555.29 um    38.58 um    42.48 um  
   1.30 MeV   9.442E+00  1.034E+00  593.78 um    39.97 um    44.42 um  
   1.40 MeV   9.744E+00  9.831E-01  631.37 um    41.25 um    46.24 um  
   1.50 MeV   1.003E+01  9.376E-01  668.12 um    42.44 um    47.96 um  
   1.60 MeV   1.031E+01  8.966E-01  704.09 um    43.55 um    49.59 um  
   1.70 MeV   1.058E+01  8.595E-01  739.32 um    44.58 um    51.13 um  
   1.80 MeV   1.085E+01  8.257E-01  773.86 um    45.54 um    52.60 um  
   2.00 MeV   1.136E+01  7.663E-01  840.99 um    47.77 um    55.33 um  
   2.25 MeV   1.197E+01  7.043E-01  921.57 um    50.46 um    58.41 um  
   2.50 MeV   1.257E+01  6.525E-01  998.76 um    52.79 um    61.17 um  
   2.75 MeV   1.317E+01  6.086E-01    1.07 mm    54.84 um    63.68 um  
   3.00 MeV   1.377E+01  5.707E-01    1.14 mm    56.66 um    65.96 um  
   3.25 MeV   1.438E+01  5.378E-01    1.21 mm    58.28 um    68.04 um  
   3.50 MeV   1.499E+01  5.088E-01    1.28 mm    59.73 um    69.95 um  
   3.75 MeV   1.561E+01  4.831E-01    1.34 mm    61.05 um    71.71 um  
   4.00 MeV   1.623E+01  4.601E-01    1.40 mm    62.24 um    73.33 um  
   4.50 MeV   1.750E+01  4.207E-01    1.52 mm    65.33 um    76.21 um  
   5.00 MeV   1.879E+01  3.881E-01    1.63 mm    67.90 um    78.71 um  
   5.50 MeV   2.008E+01  3.606E-01    1.73 mm    70.06 um    80.88 um  
   6.00 MeV   2.137E+01  3.370E-01    1.82 mm    71.91 um    82.78 um  
   6.50 MeV   2.263E+01  3.166E-01    1.91 mm    73.52 um    84.47 um  
   7.00 MeV   2.385E+01  2.988E-01    2.00 mm    74.92 um    85.97 um  
   8.00 MeV   2.619E+01  2.689E-01    2.16 mm    78.89 um    88.55 um  
   9.00 MeV   2.832E+01  2.449E-01    2.30 mm    82.08 um    90.68 um  
