 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 23, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\Nickel58 in  H- C (gas).txt

 Ion = Nickel [28] , Mass = 58 amu

 Target Density =  2.4860E-03 g/cm3 = 3.6060E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 400.00 keV   3.363E+00  4.539E+00  190.62 um    24.03 um    21.91 um  
 450.00 keV   3.707E+00  4.309E+00  215.09 um    26.38 um    24.30 um  
 500.00 keV   4.052E+00  4.105E+00  239.20 um    28.57 um    26.62 um  
 550.00 keV   4.382E+00  3.922E+00  262.93 um    30.60 um    28.86 um  
 600.00 keV   4.688E+00  3.758E+00  286.28 um    32.49 um    31.03 um  
 650.00 keV   4.964E+00  3.609E+00  309.28 um    34.27 um    33.12 um  
 700.00 keV   5.211E+00  3.473E+00  331.99 um    35.95 um    35.13 um  
 800.00 keV   5.617E+00  3.235E+00  376.77 um    39.32 um    38.99 um  
 900.00 keV   5.925E+00  3.032E+00  420.94 um    42.38 um    42.63 um  
   1.00 MeV   6.156E+00  2.857E+00  464.78 um    45.23 um    46.11 um  
   1.10 MeV   6.328E+00  2.704E+00  508.50 um    47.91 um    49.45 um  
   1.20 MeV   6.458E+00  2.568E+00  552.23 um    50.46 um    52.69 um  
   1.30 MeV   6.556E+00  2.448E+00  596.08 um    52.91 um    55.83 um  
   1.40 MeV   6.632E+00  2.340E+00  640.10 um    55.27 um    58.90 um  
   1.50 MeV   6.694E+00  2.242E+00  684.31 um    57.55 um    61.90 um  
   1.60 MeV   6.747E+00  2.154E+00  728.74 um    59.77 um    64.85 um  
   1.70 MeV   6.796E+00  2.073E+00  773.36 um    61.93 um    67.74 um  
   1.80 MeV   6.844E+00  1.999E+00  818.15 um    64.03 um    70.59 um  
   2.00 MeV   6.952E+00  1.867E+00  908.06 um    68.66 um    76.16 um  
   2.25 MeV   7.126E+00  1.728E+00    1.02 mm    74.39 um    82.86 um  
   2.50 MeV   7.358E+00  1.611E+00    1.13 mm    79.67 um    89.28 um  
   2.75 MeV   7.657E+00  1.510E+00    1.24 mm    84.51 um    95.39 um  
   3.00 MeV   8.025E+00  1.423E+00    1.35 mm    88.90 um   101.16 um  
   3.25 MeV   8.460E+00  1.346E+00    1.45 mm    92.87 um   106.57 um  
   3.50 MeV   8.959E+00  1.278E+00    1.55 mm    96.44 um   111.61 um  
   3.75 MeV   9.517E+00  1.218E+00    1.65 mm    99.62 um   116.29 um  
   4.00 MeV   1.013E+01  1.163E+00    1.74 mm   102.45 um   120.61 um  
   4.50 MeV   1.150E+01  1.069E+00    1.90 mm   108.49 um   128.22 um  
   5.00 MeV   1.302E+01  9.907E-01    2.05 mm   113.19 um   134.63 um  
   5.50 MeV   1.467E+01  9.241E-01    2.19 mm   116.91 um   140.02 um  
   6.00 MeV   1.640E+01  8.668E-01    2.31 mm   119.87 um   144.56 um  
   6.50 MeV   1.819E+01  8.168E-01    2.42 mm   122.27 um   148.42 um  
   7.00 MeV   2.002E+01  7.729E-01    2.52 mm   124.24 um   151.71 um  
   8.00 MeV   2.370E+01  6.990E-01    2.70 mm   128.49 um   157.00 um  
   9.00 MeV   2.731E+01  6.392E-01    2.85 mm   131.57 um   161.05 um  
  10.00 MeV   3.074E+01  5.896E-01    2.99 mm   133.91 um   164.25 um  
  11.00 MeV   3.395E+01  5.479E-01    3.11 mm   135.76 um   166.85 um  
  12.00 MeV   3.691E+01  5.121E-01    3.22 mm   137.28 um   169.01 um  
  13.00 MeV   3.961E+01  4.812E-01    3.33 mm   138.56 um   170.83 um  
  14.00 MeV   4.206E+01  4.540E-01    3.42 mm   139.67 um   172.40 um  
  15.00 MeV   4.426E+01  4.301E-01    3.51 mm   140.63 um   173.78 um  
  16.00 MeV   4.624E+01  4.087E-01    3.60 mm   141.50 um   175.00 um  
  17.00 MeV   4.801E+01  3.896E-01    3.69 mm   142.28 um   176.10 um  
  18.00 MeV   4.959E+01  3.723E-01    3.77 mm   143.00 um   177.09 um  
  20.00 MeV   5.225E+01  3.423E-01    3.93 mm   145.14 um   178.82 um  
  22.50 MeV   5.482E+01  3.114E-01    4.11 mm   147.95 um   180.64 um  
  25.00 MeV   5.673E+01  2.860E-01    4.29 mm   150.47 um   182.20 um  
  27.50 MeV   5.816E+01  2.648E-01    4.47 mm   152.78 um   183.55 um  
  30.00 MeV   5.922E+01  2.467E-01    4.64 mm   154.94 um   184.76 um  
  32.50 MeV   6.001E+01  2.311E-01    4.80 mm   156.99 um   185.85 um  
  35.00 MeV   6.058E+01  2.175E-01    4.97 mm   158.96 um   186.85 um  
  37.50 MeV   6.100E+01  2.055E-01    5.13 mm   160.86 um   187.77 um  
  40.00 MeV   6.129E+01  1.949E-01    5.30 mm   162.70 um   188.64 um  
  45.00 MeV   6.157E+01  1.768E-01    5.62 mm   169.44 um   190.22 um  
  50.00 MeV   6.158E+01  1.620E-01    5.95 mm   175.87 um   191.66 um  
  55.00 MeV   6.138E+01  1.497E-01    6.28 mm   182.08 um   192.98 um  
  60.00 MeV   6.106E+01  1.392E-01    6.60 mm   188.11 um   194.22 um  
  65.00 MeV   6.063E+01  1.302E-01    6.93 mm   194.02 um   195.39 um  
  70.00 MeV   6.014E+01  1.223E-01    7.27 mm   199.83 um   196.51 um  
  80.00 MeV   5.902E+01  1.093E-01    7.94 mm   221.74 um   198.64 um  
  90.00 MeV   5.781E+01  9.895E-02    8.63 mm   242.41 um   200.66 um  
 100.00 MeV   5.659E+01  9.049E-02    9.33 mm   262.23 um   202.61 um  
 110.00 MeV   5.538E+01  8.345E-02   10.05 mm   281.43 um   204.51 um  
 120.00 MeV   5.434E+01  7.748E-02   10.78 mm   300.11 um   206.39 um  
 130.00 MeV   5.324E+01  7.237E-02   11.53 mm   318.37 um   208.26 um  
 140.00 MeV   5.179E+01  6.792E-02   12.29 mm   336.47 um   210.13 um  
 150.00 MeV   5.091E+01  6.402E-02   13.07 mm   354.40 um   212.00 um  
 160.00 MeV   5.006E+01  6.057E-02   13.87 mm   372.04 um   213.89 um  
 170.00 MeV   4.924E+01  5.749E-02   14.68 mm   389.44 um   215.79 um  
 180.00 MeV   4.846E+01  5.473E-02   15.50 mm   406.63 um   217.70 um  
 200.00 MeV   4.700E+01  4.997E-02   17.19 mm   471.58 um   221.59 um  
 225.00 MeV   4.532E+01  4.514E-02   19.36 mm   563.56 um   226.59 um  
 250.00 MeV   4.379E+01  4.120E-02   21.62 mm   647.93 um   231.75 um  
 275.00 MeV   4.237E+01  3.792E-02   23.95 mm   727.42 um   237.10 um  
 300.00 MeV   4.106E+01  3.516E-02   26.36 mm   803.57 um   242.65 um  
 325.00 MeV   3.983E+01  3.279E-02   28.85 mm   877.36 um   248.41 um  
 350.00 MeV   3.868E+01  3.073E-02   31.41 mm   949.43 um   254.38 um  
 375.00 MeV   3.760E+01  2.893E-02   34.04 mm     1.02 mm   260.57 um  
 400.00 MeV   3.657E+01  2.735E-02   36.75 mm     1.09 mm   266.98 um  
 450.00 MeV   3.466E+01  2.466E-02   42.40 mm     1.35 mm   280.50 um  
 500.00 MeV   3.292E+01  2.248E-02   48.35 mm     1.59 mm   294.94 um  
 550.00 MeV   3.134E+01  2.067E-02   54.61 mm     1.82 mm   310.33 um  
 600.00 MeV   2.988E+01  1.915E-02   61.18 mm     2.05 mm   326.68 um  
 650.00 MeV   2.854E+01  1.784E-02   68.07 mm     2.27 mm   344.00 um  
 700.00 MeV   2.730E+01  1.671E-02   75.27 mm     2.49 mm   362.30 um  
 800.00 MeV   2.510E+01  1.485E-02   90.64 mm     3.30 mm   401.83 um  
 900.00 MeV   2.321E+01  1.338E-02  107.30 mm     4.06 mm   445.28 um  
   1.00 GeV   2.159E+01  1.218E-02  125.27 mm     4.79 mm   492.59 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.4859E-02                 eV / Angstrom 
  2.4859E-01                keV / micron   
  2.4859E-01                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  6.8938E+00                 eV / (1E15 atoms/cm2)
  4.2636E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
