 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 31, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Argon in Butane, n-Butane (ICRU-340) (gas).txt

 Ion = Argon [18] , Mass = 40 amu

 Target Density =  2.4860E-03 g/cm3 = 3.6060E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.50 MeV   1.630E+01  4.559E-01    1.23 mm    57.52 um    67.97 um  
   3.75 MeV   1.703E+01  4.327E-01    1.28 mm    58.68 um    69.55 um  
   4.00 MeV   1.776E+01  4.119E-01    1.34 mm    59.73 um    71.00 um  
   4.50 MeV   1.925E+01  3.764E-01    1.45 mm    62.43 um    73.57 um  
   5.00 MeV   2.073E+01  3.469E-01    1.54 mm    64.66 um    75.77 um  
   5.50 MeV   2.219E+01  3.222E-01    1.64 mm    66.53 um    77.67 um  
   6.00 MeV   2.361E+01  3.010E-01    1.72 mm    68.13 um    79.33 um  
   6.50 MeV   2.498E+01  2.826E-01    1.80 mm    69.52 um    80.80 um  
   7.00 MeV   2.630E+01  2.666E-01    1.88 mm    70.74 um    82.11 um  
   8.00 MeV   2.872E+01  2.398E-01    2.03 mm    74.21 um    84.34 um  
   9.00 MeV   3.085E+01  2.182E-01    2.16 mm    77.04 um    86.20 um  
  10.00 MeV   3.271E+01  2.005E-01    2.29 mm    79.44 um    87.78 um  
  11.00 MeV   3.430E+01  1.857E-01    2.41 mm    81.52 um    89.15 um  
  12.00 MeV   3.565E+01  1.730E-01    2.52 mm    83.38 um    90.36 um  
  13.00 MeV   3.679E+01  1.621E-01    2.63 mm    85.07 um    91.45 um  
  14.00 MeV   3.775E+01  1.526E-01    2.74 mm    86.62 um    92.44 um  
  15.00 MeV   3.854E+01  1.442E-01    2.84 mm    88.07 um    93.35 um  
  16.00 MeV   3.920E+01  1.368E-01    2.95 mm    89.45 um    94.20 um  
  17.00 MeV   3.973E+01  1.302E-01    3.05 mm    90.75 um    94.98 um  
  18.00 MeV   4.016E+01  1.242E-01    3.15 mm    92.00 um    95.73 um  
  20.00 MeV   4.078E+01  1.138E-01    3.35 mm    96.44 um    97.09 um  
  22.50 MeV   4.120E+01  1.032E-01    3.59 mm   102.73 um    98.64 um  
  25.00 MeV   4.133E+01  9.452E-02    3.83 mm   108.58 um   100.05 um  
  27.50 MeV   4.127E+01  8.728E-02    4.08 mm   114.10 um   101.36 um  
  30.00 MeV   4.106E+01  8.114E-02    4.32 mm   119.39 um   102.60 um  
